Host
Best Motion Picture - Drama
Best Motion Picture - Musical or Comedy
Best Performance by an Actress in a Motion Picture - Drama
Best Performance by an Actor in a Motion Picture - Drama
Best Performance by an Actress in a Motion Picture - Musical or Comedy
Best Performance by an Actor in a Motion Picture - Musical or Comedy
Best Performance by an Actress in a Supporting Role in any Motion Picture
Best Performance by an Actor in a Supporting Role in any Motion Picture
Best Director - Motion Picture
Best Screenplay - Motion Picture
Best Motion Picture - Animated
Best Motion Picture - Foreign Language
Best Original Score - Motion Picture
Best Original Song - Motion Picture
Best Television Series - Drama
Best Television Series - Musical or Comedy
Best Television Limited Series or Motion Picture Made for Television
Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television
Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television	
Best Performance by an Actress In A Television Series - Drama	
Best Performance by an Actor In A Television Series - Drama	
Best Performance by an Actress in a Television Series - Musical or Comedy	
Best Performance by an Actor in a Television Series - Musical or Comedy	
Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television	
Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television
